Region,Country,City,YearMonth,MonthlyAvgTemp
Africa,Ivory Coast,Abidjan,2004-10,80.39
Africa,Ivory Coast,Abidjan,2004-11,81.51
Africa,Ivory Coast,Abidjan,2004-12,84.07
Africa,Ivory Coast,Abidjan,2005-01,81.31
Africa,Ivory Coast,Abidjan,2005-02,85.5
Africa,Ivory Coast,Abidjan,2005-03,84.56
Africa,Ivory Coast,Abidjan,2005-04,83.45
Africa,Ivory Coast,Abidjan,2005-05,81.38
Africa,Ivory Coast,Abidjan,2005-06,78.51
Africa,Ivory Coast,Abidjan,2005-07,76.94
Africa,Ivory Coast,Abidjan,2005-08,75.35
Africa,Ivory Coast,Abidjan,2005-09,77.78
Africa,Ivory Coast,Abidjan,2005-10,80.16
Africa,Ivory Coast,Abidjan,2005-11,81.27
Africa,Ivory Coast,Abidjan,2005-12,81.0
Africa,Ivory Coast,Abidjan,2006-01,79.2
Africa,Ivory Coast,Abidjan,2006-02,80.08
Africa,Ivory Coast,Abidjan,2006-03,82.2
Africa,Ivory Coast,Abidjan,2006-04,82.47
Africa,Ivory Coast,Abidjan,2006-05,78.77
Africa,Ivory Coast,Abidjan,2006-06,74.67
Africa,Ivory Coast,Abidjan,2006-07,72.53
Africa,Ivory Coast,Abidjan,2006-08,77.54
Africa,Ivory Coast,Abidjan,2006-09,76.92
Africa,Ivory Coast,Abidjan,2006-10,79.25
Africa,Ivory Coast,Abidjan,2006-11,79.71
Africa,Ivory Coast,Abidjan,2006-12,81.22
Africa,Ivory Coast,Abidjan,2007-01,79.24
Africa,Ivory Coast,Abidjan,2007-02,82.26
Africa,Ivory Coast,Abidjan,2007-03,82.0
Africa,Ivory Coast,Abidjan,2007-04,82.28
Africa,Ivory Coast,Abidjan,2007-05,80.78
Africa,Ivory Coast,Abidjan,2007-06,77.31
Africa,Ivory Coast,Abidjan,2007-07,77.9
Africa,Ivory Coast,Abidjan,2007-08,73.9
Africa,Ivory Coast,Abidjan,2007-09,61.55
Africa,Ivory Coast,Abidjan,2007-10,76.67
Africa,Ivory Coast,Abidjan,2007-11,76.97
Africa,Ivory Coast,Abidjan,2007-12,76.27
Africa,Ivory Coast,Abidjan,2008-01,78.07
Africa,Ivory Coast,Abidjan,2008-02,82.35
Africa,Ivory Coast,Abidjan,2008-03,79.18
Africa,Ivory Coast,Abidjan,2008-04,81.16
Africa,Ivory Coast,Abidjan,2008-05,80.66
Africa,Ivory Coast,Abidjan,2008-06,78.7
Africa,Ivory Coast,Abidjan,2008-07,78.68
Africa,Ivory Coast,Abidjan,2008-08,77.26
Africa,Ivory Coast,Abidjan,2008-09,77.39
Africa,Ivory Coast,Abidjan,2008-10,79.74
Africa,Ivory Coast,Abidjan,2008-11,81.22
Africa,Ivory Coast,Abidjan,2008-12,81.55
Africa,Ivory Coast,Abidjan,2009-01,79.83
Africa,Ivory Coast,Abidjan,2009-02,81.39
Africa,Ivory Coast,Abidjan,2009-03,82.1
Africa,Ivory Coast,Abidjan,2009-04,81.58
Africa,Ivory Coast,Abidjan,2009-05,81.67
Africa,Ivory Coast,Abidjan,2009-06,79.15
Africa,Ivory Coast,Abidjan,2009-07,77.41
Africa,Ivory Coast,Abidjan,2009-08,75.45
Africa,Ivory Coast,Abidjan,2009-09,76.48
Africa,Ivory Coast,Abidjan,2009-10,78.03
Africa,Ivory Coast,Abidjan,2009-11,76.9
Africa,Ivory Coast,Abidjan,2009-12,74.09
Africa,Ivory Coast,Abidjan,2010-01,82.67
Africa,Ivory Coast,Abidjan,2010-02,84.24
Africa,Ivory Coast,Abidjan,2010-03,83.45
Africa,Ivory Coast,Abidjan,2010-04,82.65
Africa,Ivory Coast,Abidjan,2010-05,81.71
Africa,Ivory Coast,Abidjan,2010-06,79.81
Africa,Ivory Coast,Abidjan,2010-07,77.46
Africa,Ivory Coast,Abidjan,2010-08,76.27
Africa,Ivory Coast,Abidjan,2010-09,77.21
Africa,Ivory Coast,Abidjan,2010-10,79.95
Africa,Ivory Coast,Abidjan,2010-11,80.55
Africa,Ivory Coast,Abidjan,2010-12,81.11
Africa,Ivory Coast,Abidjan,2011-01,78.77
Africa,Ivory Coast,Abidjan,2011-02,80.14
Africa,Ivory Coast,Abidjan,2011-03,80.68
Africa,Ivory Coast,Abidjan,2011-04,77.03
Africa,Ivory Coast,Abidjan,2011-05,79.92
Africa,Ivory Coast,Abidjan,2011-06,78.72
Africa,Ivory Coast,Abidjan,2011-07,76.85
Africa,Ivory Coast,Abidjan,2011-08,75.38
Africa,Ivory Coast,Abidjan,2011-09,77.31
Africa,Ivory Coast,Abidjan,2011-10,78.48
Africa,Ivory Coast,Abidjan,2011-11,81.38
Africa,Ivory Coast,Abidjan,2011-12,81.04
Africa,Ivory Coast,Abidjan,2012-01,80.44
Africa,Ivory Coast,Abidjan,2012-02,80.61
Africa,Ivory Coast,Abidjan,2012-03,82.89
Africa,Ivory Coast,Abidjan,2012-04,81.59
Africa,Ivory Coast,Abidjan,2012-05,80.99
Africa,Ivory Coast,Abidjan,2012-06,78.72
Africa,Ivory Coast,Abidjan,2012-07,77.1
Africa,Ivory Coast,Abidjan,2012-08,75.45
Africa,Ivory Coast,Abidjan,2012-09,77.39
Africa,Ivory Coast,Abidjan,2012-10,80.05
Africa,Ivory Coast,Abidjan,2012-11,81.63
Africa,Ivory Coast,Abidjan,2012-12,81.45
Africa,Ivory Coast,Abidjan,2013-01,80.85
Africa,Ivory Coast,Abidjan,2013-02,83.54
Africa,Ivory Coast,Abidjan,2013-03,83.13
Africa,Ivory Coast,Abidjan,2013-04,83.83
